"Notes"	"Cause of death"	"Cause of death Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Deaths"	"Population"	"Crude Rate"	"Crude Rate Lower 95% Confidence Interval"	"Crude Rate Upper 95% Confidence Interval"	"Crude Rate Standard Error"	"% of Total Deaths"
	"Miliary tuberculosis, unspecified"	"A19.9"	"60-64 years "	"60-64"	61	168055475	0.0	0.0	0.0	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"65-69 years"	"65-69"	54	133793292	0.0	0.0	0.1	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"70-74 years"	"70-74"	56	102736281	0.1	0.0	0.1	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"75-79 years"	"75-79"	66	75129413	0.1	0.1	0.1	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"80-84 years"	"80-84"	54	49947616	0.1	0.1	0.1	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"85-89 years"	"85-89"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Pasteurellosis"	"A28.0"	"45-49 years"	"45-49"	12	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Pasteurellosis"	"A28.0"	"50-54 years"	"50-54"	24	223575070	0.0	0.0	0.0	0.0	0.0%
	"Pasteurellosis"	"A28.0"	"55-59 years"	"55-59"	19	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Pasteurellosis"	"A28.0"	"60-64 years "	"60-64"	22	168055475	0.0	0.0	0.0	0.0	0.0%
	"Pasteurellosis"	"A28.0"	"65-69 years"	"65-69"	23	133793292	0.0	0.0	0.0	0.0	0.0%
	"Pasteurellosis"	"A28.0"	"70-74 years"	"70-74"	24	102736281	0.0	0.0	0.0	0.0	0.0%
	"Pasteurellosis"	"A28.0"	"75-79 years"	"75-79"	26	75129413	0.0	0.0	0.1	0.0	0.0%
	"Pasteurellosis"	"A28.0"	"80-84 years"	"80-84"	23	49947616	0.0	0.0	0.1	0.0	0.0%
	"Pasteurellosis"	"A28.0"	"85-89 years"	"85-89"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"25-29 years"	"25-29"	18	234285878	Unreliable	0.0	0.0	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"30-34 years"	"30-34"	18	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"35-39 years"	"35-39"	37	230611430	0.0	0.0	0.0	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"40-44 years"	"40-44"	39	232968123	0.0	0.0	0.0	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"45-49 years"	"45-49"	76	232932105	0.0	0.0	0.0	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"50-54 years"	"50-54"	139	223575070	0.1	0.1	0.1	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"55-59 years"	"55-59"	226	201411886	0.1	0.1	0.1	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"60-64 years "	"60-64"	252	168055475	0.1	0.1	0.2	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"65-69 years"	"65-69"	306	133793292	0.2	0.2	0.3	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"70-74 years"	"70-74"	301	102736281	0.3	0.3	0.3	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"75-79 years"	"75-79"	340	75129413	0.5	0.4	0.5	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"80-84 years"	"80-84"	332	49947616	0.7	0.6	0.7	0.0	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"85-89 years"	"85-89"	246	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"90-94 years"	"90-94"	94	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Pulmonary mycobacterial infection"	"A31.0"	"95-99 years"	"95-99"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Mycobacterial infection, unspecified"	"A31.9"	"40-44 years"	"40-44"	10	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Mycobacterial infection, unspecified"	"A31.9"	"45-49 years"	"45-49"	17	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Mycobacterial infection, unspecified"	"A31.9"	"50-54 years"	"50-54"	24	223575070	0.0	0.0	0.0	0.0	0.0%
	"Mycobacterial infection, unspecified"	"A31.9"	"55-59 years"	"55-59"	43	201411886	0.0	0.0	0.0	0.0	0.0%
	"Mycobacterial infection, unspecified"	"A31.9"	"60-64 years "	"60-64"	51	168055475	0.0	0.0	0.0	0.0	0.0%
	"Mycobacterial infection, unspecified"	"A31.9"	"65-69 years"	"65-69"	73	133793292	0.1	0.0	0.1	0.0	0.0%
	"Mycobacterial infection, unspecified"	"A31.9"	"70-74 years"	"70-74"	93	102736281	0.1	0.1	0.1	0.0	0.0%
	"Mycobacterial infection, unspecified"	"A31.9"	"75-79 years"	"75-79"	68	75129413	0.1	0.1	0.1	0.0	0.0%
	"Mycobacterial infection, unspecified"	"A31.9"	"80-84 years"	"80-84"	84	49947616	0.2	0.1	0.2	0.0	0.0%
	"Mycobacterial infection, unspecified"	"A31.9"	"85-89 years"	"85-89"	40	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Mycobacterial infection, unspecified"	"A31.9"	"90-94 years"	"90-94"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Listerial meningitis and meningoencephalitis"	"A32.1"	"55-59 years"	"55-59"	14	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Listerial meningitis and meningoencephalitis"	"A32.1"	"60-64 years "	"60-64"	13	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Listerial meningitis and meningoencephalitis"	"A32.1"	"65-69 years"	"65-69"	27	133793292	0.0	0.0	0.0	0.0	0.0%
	"Listerial meningitis and meningoencephalitis"	"A32.1"	"70-74 years"	"70-74"	26	102736281	0.0	0.0	0.0	0.0	0.0%
	"Listerial meningitis and meningoencephalitis"	"A32.1"	"75-79 years"	"75-79"	30	75129413	0.0	0.0	0.1	0.0	0.0%
	"Listerial meningitis and meningoencephalitis"	"A32.1"	"80-84 years"	"80-84"	20	49947616	0.0	0.0	0.1	0.0	0.0%
	"Listerial meningitis and meningoencephalitis"	"A32.1"	"85-89 years"	"85-89"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Listerial septicaemia"	"A32.7"	"65-69 years"	"65-69"	19	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Listerial septicaemia"	"A32.7"	"70-74 years"	"70-74"	13	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Listerial septicaemia"	"A32.7"	"75-79 years"	"75-79"	13	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Listerial septicaemia"	"A32.7"	"80-84 years"	"80-84"	20	49947616	0.0	0.0	0.1	0.0	0.0%
	"Listerial septicaemia"	"A32.7"	"85-89 years"	"85-89"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Listeriosis, unspecified"	"A32.9"	"65-69 years"	"65-69"	11	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Listeriosis, unspecified"	"A32.9"	"70-74 years"	"70-74"	13	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Whooping cough due to Bordetella pertussis"	"A37.0"	"< 1 year"	"1"	23	44436653	0.1	0.0	0.1	0.0	0.0%
	"Whooping cough, unspecified"	"A37.9"	"< 1 year"	"1"	92	44436653	0.2	0.2	0.3	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"< 1 year"	"1"	20	44436653	0.0	0.0	0.1	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"1-4 years"	"1-4"	21	178140207	0.0	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"5-9 years"	"5-9"	13	226500076	Unreliable	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"10-14 years"	"10-14"	15	234284030	Unreliable	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"15-19 years"	"15-19"	47	239483577	0.0	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"20-24 years"	"20-24"	36	239951389	0.0	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"25-29 years"	"25-29"	24	234285878	0.0	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"30-34 years"	"30-34"	14	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"35-39 years"	"35-39"	11	230611430	Unreliable	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"40-44 years"	"40-44"	14	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"45-49 years"	"45-49"	13	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"50-54 years"	"50-54"	22	223575070	0.0	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"55-59 years"	"55-59"	12	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Meningococcal meningitis"	"A39.0"	"60-64 years "	"60-64"	10	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"< 1 year"	"1"	30	44436653	0.1	0.0	0.1	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"1-4 years"	"1-4"	23	178140207	0.0	0.0	0.0	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"5-9 years"	"5-9"	14	226500076	Unreliable	0.0	0.0	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"10-14 years"	"10-14"	10	234284030	Unreliable	0.0	0.0	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"15-19 years"	"15-19"	14	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"20-24 years"	"20-24"	11	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"25-29 years"	"25-29"	23	234285878	0.0	0.0	0.0	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"30-34 years"	"30-34"	13	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"35-39 years"	"35-39"	10	230611430	Unreliable	0.0	0.0	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"40-44 years"	"40-44"	13	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"45-49 years"	"45-49"	13	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Waterhouse-Friderichsen syndrome"	"A39.1"	"50-54 years"	"50-54"	13	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"< 1 year"	"1"	72	44436653	0.2	0.1	0.2	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"1-4 years"	"1-4"	72	178140207	0.0	0.0	0.1	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"5-9 years"	"5-9"	23	226500076	0.0	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"10-14 years"	"10-14"	25	234284030	0.0	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"15-19 years"	"15-19"	60	239483577	0.0	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"20-24 years"	"20-24"	63	239951389	0.0	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"25-29 years"	"25-29"	28	234285878	0.0	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"30-34 years"	"30-34"	33	229872405	0.0	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"35-39 years"	"35-39"	25	230611430	0.0	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"40-44 years"	"40-44"	24	232968123	0.0	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"45-49 years"	"45-49"	21	232932105	0.0	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"50-54 years"	"50-54"	23	223575070	0.0	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"55-59 years"	"55-59"	17	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"60-64 years "	"60-64"	11	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Meningococcaemia, unspecified"	"A39.4"	"70-74 years"	"70-74"	10	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"1-4 years"	"1-4"	21	178140207	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"5-9 years"	"5-9"	21	226500076	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"30-34 years"	"30-34"	13	229872405	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"35-39 years"	"35-39"	16	230611430	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"40-44 years"	"40-44"	21	232968123	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"45-49 years"	"45-49"	26	232932105	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"50-54 years"	"50-54"	21	223575070	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"55-59 years"	"55-59"	16	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"60-64 years "	"60-64"	22	168055475	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"65-69 years"	"65-69"	21	133793292	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"70-74 years"	"70-74"	24	102736281	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"75-79 years"	"75-79"	11	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"80-84 years"	"80-84"	22	49947616	0.0	0.0	0.1	0.0	0.0%
	"Septicaemia due to streptococcus, group A"	"A40.0"	"85-89 years"	"85-89"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Septicaemia due to streptococcus, group B"	"A40.1"	"< 1 year"	"1"	100	44436653	0.2	0.2	0.3	0.0	0.0%
	"Septicaemia due to streptococcus, group B"	"A40.1"	"45-49 years"	"45-49"	10	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group B"	"A40.1"	"50-54 years"	"50-54"	13	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group B"	"A40.1"	"55-59 years"	"55-59"	11	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group B"	"A40.1"	"60-64 years "	"60-64"	18	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group B"	"A40.1"	"65-69 years"	"65-69"	19	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group B"	"A40.1"	"70-74 years"	"70-74"	21	102736281	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group B"	"A40.1"	"75-79 years"	"75-79"	11	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group B"	"A40.1"	"80-84 years"	"80-84"	31	49947616	0.1	0.0	0.1	0.0	0.0%
	"Septicaemia due to streptococcus, group B"	"A40.1"	"85-89 years"	"85-89"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Septicaemia due to streptococcus, group B"	"A40.1"	"90-94 years"	"90-94"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"< 1 year"	"1"	30	44436653	0.1	0.0	0.1	0.0	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"35-39 years"	"35-39"	13	230611430	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"40-44 years"	"40-44"	11	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"45-49 years"	"45-49"	34	232932105	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"50-54 years"	"50-54"	55	223575070	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"55-59 years"	"55-59"	81	201411886	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"60-64 years "	"60-64"	95	168055475	0.1	0.0	0.1	0.0	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"65-69 years"	"65-69"	131	133793292	0.1	0.1	0.1	0.0	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"70-74 years"	"70-74"	174	102736281	0.2	0.1	0.2	0.0	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"75-79 years"	"75-79"	220	75129413	0.3	0.3	0.3	0.0	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"80-84 years"	"80-84"	214	49947616	0.4	0.4	0.5	0.0	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"85-89 years"	"85-89"	187	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"90-94 years"	"90-94"	99	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Septicaemia due to streptococcus, group D"	"A40.2"	"95-99 years"	"95-99"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"< 1 year"	"1"	54	44436653	0.1	0.1	0.2	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"1-4 years"	"1-4"	55	178140207	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"5-9 years"	"5-9"	21	226500076	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"15-19 years"	"15-19"	11	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"20-24 years"	"20-24"	10	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"25-29 years"	"25-29"	16	234285878	Unreliable	0.0	0.0	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"30-34 years"	"30-34"	34	229872405	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"35-39 years"	"35-39"	72	230611430	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"40-44 years"	"40-44"	87	232968123	0.0	0.0	0.0	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"45-49 years"	"45-49"	118	232932105	0.1	0.0	0.1	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"50-54 years"	"50-54"	157	223575070	0.1	0.1	0.1	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"55-59 years"	"55-59"	135	201411886	0.1	0.1	0.1	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"60-64 years "	"60-64"	158	168055475	0.1	0.1	0.1	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"65-69 years"	"65-69"	125	133793292	0.1	0.1	0.1	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"70-74 years"	"70-74"	130	102736281	0.1	0.1	0.1	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"75-79 years"	"75-79"	134	75129413	0.2	0.1	0.2	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"80-84 years"	"80-84"	126	49947616	0.3	0.2	0.3	0.0	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"85-89 years"	"85-89"	109	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"90-94 years"	"90-94"	75	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"95-99 years"	"95-99"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other streptococcal septicaemia"	"A40.8"	"< 1 year"	"1"	10	44436653	Unreliable	0.0	0.0	0.0	0.0%
	"Other streptococcal septicaemia"	"A40.8"	"35-39 years"	"35-39"	10	230611430	Unreliable	0.0	0.0	0.0	0.0%
	"Other streptococcal septicaemia"	"A40.8"	"45-49 years"	"45-49"	12	232932105	Unreliable	0.0	0.0	0.0	0.0%
	"Other streptococcal septicaemia"	"A40.8"	"50-54 years"	"50-54"	11	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Other streptococcal septicaemia"	"A40.8"	"60-64 years "	"60-64"	11	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Other streptococcal septicaemia"	"A40.8"	"65-69 years"	"65-69"	12	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Other streptococcal septicaemia"	"A40.8"	"70-74 years"	"70-74"	14	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Other streptococcal septicaemia"	"A40.8"	"75-79 years"	"75-79"	15	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Other streptococcal septicaemia"	"A40.8"	"80-84 years"	"80-84"	23	49947616	0.0	0.0	0.1	0.0	0.0%
	"Other streptococcal septicaemia"	"A40.8"	"85-89 years"	"85-89"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other streptococcal septicaemia"	"A40.8"	"90-94 years"	"90-94"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"< 1 year"	"1"	49	44436653	0.1	0.1	0.1	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"1-4 years"	"1-4"	31	178140207	0.0	0.0	0.0	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"5-9 years"	"5-9"	18	226500076	Unreliable	0.0	0.0	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"15-19 years"	"15-19"	14	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"20-24 years"	"20-24"	14	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"25-29 years"	"25-29"	14	234285878	Unreliable	0.0	0.0	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"30-34 years"	"30-34"	27	229872405	0.0	0.0	0.0	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"35-39 years"	"35-39"	46	230611430	0.0	0.0	0.0	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"40-44 years"	"40-44"	54	232968123	0.0	0.0	0.0	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"45-49 years"	"45-49"	76	232932105	0.0	0.0	0.0	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"50-54 years"	"50-54"	121	223575070	0.1	0.0	0.1	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"55-59 years"	"55-59"	129	201411886	0.1	0.1	0.1	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"60-64 years "	"60-64"	132	168055475	0.1	0.1	0.1	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"65-69 years"	"65-69"	142	133793292	0.1	0.1	0.1	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"70-74 years"	"70-74"	159	102736281	0.2	0.1	0.2	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"75-79 years"	"75-79"	175	75129413	0.2	0.2	0.3	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"80-84 years"	"80-84"	157	49947616	0.3	0.3	0.4	0.0	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"85-89 years"	"85-89"	130	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"90-94 years"	"90-94"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Streptococcal septicaemia, unspecified"	"A40.9"	"95-99 years"	"95-99"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
